Tipo_Incidencia,Tipo_Lugar
8,107
3,107
9,104
3,107
3,139
1,125
9,107
3,222
3,149
3,259
3,107
3,136
9,131
3,167
3,
9,137
3,325
2,
3,136
3,139
3,139
3,136
3,136
3,139
3,140
1,137
3,107
3,100
3,201
3,140
3,139
3,148
3,259
3,140
3,219
3,136
3,136
3,325
3,136
3,139
9,136
3,136
2,149
3,139
3,100
3,136
3,139
3,139
3,139
3,136
1,131
3,139
3,196
3,230
3,139
3,139
3,133
3,149
3,139
3,242
6,
3,136
3,148
3,139
3,148
3,107
3,148
3,139
9,139
3,148
3,137
3,323
3,139
3,241
3,139
1,
3,136
1,257
3,136
3,276
3,157
3,139
3,149
3,148
3,148
3,139
3,139
3,219
5,148
7,130
3,136
3,107
3,136
3,139
3,136
3,139
3,139
3,148
3,136
3,148
3,316
3,148
3,226
3,139
3,224
3,148
3,136
9,139
3,139
3,104
3,210
1,241
3,107
3,139
3,271
3,148
1,148
3,140
3,136
3,148
3,136
3,140
1,128
3,139
3,139
3,148
3,139
3,139
3,148
3,136
3,
3,224
3,107
3,196
1,164
1,126
3,241
3,199
3,104
1,131
7,108
3,148
3,140
6,
3,136
6,148
3,136
1,135
3,139
3,136
3,139
3,148
3,325
3,148
3,
4,131
3,148
3,148
3,136
3,136
3,139
9,136
3,136
3,139
2,149
3,139
3,264
3,136
1,148
3,139
3,148
3,201
3,136
1,
1,201
3,148
3,219
3,105
3,148
1,114
3,228
3,139
3,136
3,139
3,276
3,136
3,137
3,136
3,135
3,136
3,136
3,139
3,107
3,218
3,136
3,148
3,139
3,136
3,136
3,136
3,148
3,139
3,100
3,139
2,
1,148
3,139
7,148
3,226
3,136
3,139
3,139
3,325
3,139
3,114
3,148
3,139
3,205
1,
3,107
6,100
3,202
3,136
9,139
3,143
3,147
8,286
3,148
3,139
3,137
3,
3,139
3,148
3,139
3,136
2,
3,148
1,
3,139
9,136
3,136
1,
3,130
3,198
3,139
1,
3,133
3,139
3,104
3,196
3,139
3,140
3,136
6,100
3,228
3,139
3,148
7,108
3,139
3,139
3,139
3,148
3,148
6,
3,136
3,158
3,136
3,136
3,136
6,242
1,100
3,139
3,139
3,139
3,216
1,112
3,136
1,
3,139
3,155
3,139
3,139
3,140
4,136
3,115
3,136
1,
3,136
3,139
3,148
3,136
3,136
3,139
3,139
3,136
3,139
3,149
2,149
9,139
3,274
3,148
3,136
3,139
6,
3,136
3,139
3,
2,
3,139
3,136
3,323
1,131
3,139
3,139
3,148
1,148
3,196
3,139
1,104
3,139
3,139
3,136
3,148
3,148
3,139
3,148
3,139
3,148
3,136
3,139
3,139
3,139
3,136
9,136
3,139
3,228
3,148
6,131
3,139
3,139
3,137
3,202
3,105
3,136
3,139
3,148
3,148
1,167
3,136
3,136
3,148
3,148
3,136
3,219
3,148
1,
6,100
3,136
3,136
1,135
3,259
3,139
3,148
3,157
3,167
3,139
3,136
3,148
6,148
3,139
3,136
3,167
2,148
3,148
3,136
9,136
3,107
1,149
3,149
3,226
3,148
3,139
3,136
3,325
3,136
1,136
2,149
5,130
3,139
3,136
2,148
3,136
3,148
3,140
3,136
3,136
3,136
1,
3,136
3,136
1,131
3,136
3,107
3,139
1,103
3,148
3,148
3,139
3,139
3,205
3,136
3,136
3,148
3,216
3,139
3,202
1,
3,107
3,100
3,149
3,107
3,139
3,148
3,139
3,148
3,136
3,202
9,136
3,139
3,323
3,140
3,149
3,148
3,139
3,139
3,199
3,139
3,118
4,128
3,139
3,149
3,147
3,139
3,139
3,139
3,148
3,105
3,107
3,148
3,139
1,241
3,196
3,201
3,139
3,136
3,196
1,257
1,137
3,136
1,108
3,274
3,139
3,139
3,149
3,148
3,136
3,139
3,241
3,221
1,
1,
3,147
3,136
3,227
3,219
6,139
3,139
3,136
1,149
3,232
3,
3,136
3,140
1,107
3,139
3,148
3,148
3,139
4,137
4,105
3,140
3,211
8,
3,130
1,146
9,139
3,216
3,136
3,107
1,139
3,148
3,136
3,241
3,136
2,149
3,136
3,139
1,147
3,104
3,259
3,241
3,136
3,196
3,140
3,136
3,137
3,107
3,136
3,136
3,136
3,139
3,136
3,136
3,115
1,139
3,136
3,118
3,148
3,136
3,139
1,
1,100
3,196
3,148
3,148
3,
3,148
3,316
3,139
3,134
3,139
1,131
3,148
3,148
3,137
3,325
3,139
3,148
3,100
3,136
2,149
3,139
3,148
3,139
3,139
3,136
8,
3,139
3,139
3,136
2,
3,228
3,148
3,241
1,128
3,107
3,148
1,
3,136
1,131
3,224
3,136
2,148
3,136
3,139
3,149
3,137
9,139
3,241
1,164
3,139
3,139
3,148
3,228
3,136
3,148
3,136
1,131
1,
1,257
3,148
6,149
3,139
3,148
3,148
3,148
3,148
3,139
3,136
3,136
3,136
3,136
9,
9,136
3,139
3,139
3,136
3,139
3,139
3,210
3,136
3,136
3,149
3,139
3,
1,120
3,148
3,139
3,136
3,229
3,139
3,135
3,149
3,191
3,136
3,140
3,241
7,
3,136
3,148
3,201
3,259
3,130
1,257
3,148
3,139
3,136
3,136
3,136
3,139
3,136
3,136
3,140
6,100
3,139
3,139
3,148
3,136
3,228
3,226
3,139
3,149
3,136
3,237
3,148
3,323
3,139
3,139
3,138
3,148
3,139
3,136
3,136
3,136
3,140
1,131
3,259
3,244
3,
3,148
3,139
1,100
3,140
3,232
3,136
3,140
2,149
3,148
3,136
3,136
2,149
3,139
3,139
2,149
1,256
3,148
3,139
1,107
3,136
3,148
1,
3,259
2,149
3,148
1,
3,148
6,100
3,136
3,204
3,136
3,259
3,148
3,259
3,136
3,136
3,140
3,136
3,325
3,136
3,148
3,148
3,226
3,232
9,136
3,104
3,137
3,233
3,136
6,147
1,108
3,270
3,229
3,139
3,135
3,149
3,139
3,139
3,139
3,139
3,136
3,136
3,136
3,139
3,149
3,139
3,220
3,136
1,
3,228
3,136
3,216
3,258
3,139
3,323
3,137
3,136
3,241
3,263
3,139
3,136
3,136
3,111
3,219
3,139
3,148
3,136
1,139
3,148
3,148
1,127
3,148
3,137
3,148
3,148
3,136
3,136
3,165
3,325
2,148
3,136
3,140
1,148
3,148
3,137
3,136
1,
3,136
3,139
3,148
9,105
3,226
1,149
3,136
1,
3,136
3,148
2,149
3,136
3,143
3,139
3,139
1,139
3,136
3,136
3,136
3,139
3,136
3,149
3,136
3,140
2,148
3,148
3,147
1,
1,114
2,148
3,210
3,104
3,104
9,139
1,131
3,149
3,139
3,139
3,136
3,205
3,136
3,136
3,
3,136
3,139
3,237
3,136
3,148
3,139
3,257
3,139
9,100
3,148
3,139
2,148
3,148
3,148
3,148
1,
3,136
6,107
3,148
3,325
3,148
3,107
3,136
3,143
3,196
3,139
3,139
3,139
3,148
3,136
3,140
3,139
3,148
3,139
3,140
3,139
3,148
3,136
3,140
3,136
3,139
3,136
3,139
3,148
3,136
3,139
3,139
7,
3,136
3,136
3,148
1,325
3,148
1,146
3,148
3,228
3,139
3,186
3,228
3,139
3,148
3,148
3,149
6,286
6,
3,219
3,
1,
3,139
3,139
1,
3,
3,136
3,139
3,139
3,228
2,148
3,186
3,274
3,210
3,136
3,148
1,148
1,146
3,136
3,107
3,136
3,191
3,274
1,
3,212
3,139
3,139
3,100
3,104
3,107
3,202
3,136
3,136
9,139
3,139
3,107
3,136
1,
3,
1,
1,149
3,131
3,139
3,139
9,139
3,148
9,139
3,136
3,
3,139
5,148
3,107
1,233
3,139
3,196
3,136
6,
3,148
3,139
3,136
3,139
9,143
3,148
1,
3,210
3,148
1,111
3,139
3,139
3,139
3,148
6,137
1,148
6,148
3,136
3,139
3,139
3,148
1,
1,
3,139
2,149
3,139
1,
3,136
3,139
3,136
1,148
3,139
3,148
3,136
3,136
3,136
3,
3,139
3,136
9,149
2,149
3,139
3,148
3,139
9,139
3,136
3,148
3,139
3,148
1,137
3,148
3,148
1,149
3,107
3,148
7,
3,139
3,259
3,139
6,296
3,139
3,139
3,325
3,139
3,139
3,136
3,136
3,114
3,136
3,136
3,136
3,136
3,274
3,139
3,149
3,258
3,139
3,139
3,107
3,148
3,139
3,139
1,139
3,139
3,107
3,140
3,136
3,140
3,139
3,139
3,148
3,149
3,139
1,136
3,139
3,139
3,139
3,136
3,136
3,136
3,136
3,139
3,149
3,237
1,119
3,259
3,148
3,140
3,199
3,148
3,148
3,139
3,204
3,136
3,136
1,141
6,323
3,139
2,149
3,219
3,149
3,136
3,136
3,139
3,139
3,179
3,148
3,139
3,136
3,264
1,140
3,140
3,136
3,206
1,125
3,139
3,139
3,136
3,148
3,139
3,136
3,107
3,137
3,137
3,133
2,149
3,139
3,136
3,136
3,136
1,
3,259
1,131
1,140
3,136
